College,Required Certificate,Associates,Bachelors,Cerificate,Class,Course Code,Credit count,,,College,Associates degree,Certificates possible,Advanced Certificate,required course,class code,General Education courses,Electives,Bachelors,,,Note
BYU-I, Family History Research., Family History Research,Professional Studies ,Advanced Family History Research,Directed Geographic Specialty Research,FHGEN499R,3,,,BYU-I, Applied Business Management ,Technical Support Engineer,Business and Leadership Skills,Applied Learning Project,BUS 298R,18,9, Applied Business Management ,,,Ensign College
BYU-I,"Marriage, Family, and Human Relations.",,Marriage & Family Studies,Advanced Marriage and Family Functioning,Marriage,FAML 300,3,,,BYU-I, Applied Business Management ,Web and Computer Programming,Business and Leadership Skills,Applied Learning Project,BUS 298R,18,9, Applied Business Management ,,,ELIGIBILITY: This certificate is offered in association with Ensign College.
BYU-I,"Marriage, Family, and Human Relations.",,Marriage & Family Studies,Advanced Marriage and Family Functioning,Family Theories & Dynamics,FAML 400,3,,,BYU-I, Applied Business Management ,Administrative Assistant,Business and Leadership Skills,Internship,IDS 297R,18,9, Applied Business Management ,,,Because BYU-Pathway’s partnership with Ensign College is new and systems 
BYU-I,"Marriage, Family, and Human Relations.",,Marriage & Family Studies,Advanced Marriage and Family Functioning,Child & Family Advocacy,FAML 460,3,,,BYU-I, Applied Business Management ,Agribusiness Management,Business and Leadership Skills,Internship,IDS 297R,18,9, Applied Business Management ,,,"are still being developed, eligibility for this certificate will be scheduled in phases"
BYU-I,"Marriage, Family, and Human Relations.",,Marriage & Family Studies,Advanced Marriage and Family Functioning,Social Science Statistics,MATH 221C,3,,,BYU-I, Applied Business Management ,Basic Accounting,Business and Leadership Skills,Internship,IDS 297R,18,9, Applied Business Management ,,,
BYU-I,"Marriage, Family, and Human Relations.",,Marriage & Family Studies,Advanced Marriage and Family Functioning,Research Methods,PSYCH302,3,,,BYU-I, Applied Business Management ,Commercial Fundamentals,Business and Leadership Skills,Internship,IDS 297R,18,9, Applied Business Management ,,,
BYU-I,,,Applied Business Management ,Agribusiness Management,Entrepreneurship in Agribusiness,AGBUS105,3,,,BYU-I, Applied Business Management ,Construction Field Supervision,Business and Leadership Skills,Internship,IDS 297R,18,9, Applied Business Management ,,,
BYU-I,,,Applied Business Management ,Agribusiness Management,Agribus Lead & Group Dynamics,AGBUS138,3,,,BYU-I, Applied Business Management ,Entrepreneurship,Business and Leadership Skills,Internship,IDS 297R,18,9, Applied Business Management ,,,
BYU-I,,,Applied Business Management ,Agribusiness Management,Intro to Int'l Agri Marketing,AGBUS147,3,,,BYU-I, Applied Business Management ,Hospitality and Tourism Management,Business and Leadership Skills,Internship,IDS 297R,18,9, Applied Business Management ,,,
BYU-I,,,Applied Business Management ,Agribusiness Management,Economics & Budgeting Principles,AGBUS180A,2,,,BYU-I, Applied Business Management ,Medical Billing and Coding Fundamentals,Business and Leadership Skills,Internship,IDS 297R,18,9, Applied Business Management ,,,
BYU-I,,,Applied Business Management ,Agribusiness Management,Cash Accounting Concepts & App,AGBUS180B,2,,,BYU-I, Applied Business Management ,Project Management,Business and Leadership Skills,Internship,IDS 297R,18,9, Applied Business Management ,,,
BYU-I,,,Applied Business Management ,Agribusiness Management,Agribusiness Practicum,AGBUS197R,1,,,BYU-I, Applied Business Management ,Social Media Marketing,Business and Leadership Skills,Internship,IDS 297R,18,9, Applied Business Management ,,,
BYU-I,,,Professional Studies,Auto Services Technolog,Automotive Ownership Maintenance,AUTO 125,1,,,BYU-I, Applied Business Management ,Technical Support Engineer,Business and Leadership Skills,Internship,IDS 297R,18,9, Applied Business Management ,,,
BYU-I,,,Professional Studies,Auto Services Technolog,Electrical Systems,AUTO 131,2,,,BYU-I, Applied Business Management ,Web and Computer Programming,Business and Leadership Skills,Internship,IDS 297R,18,9, Applied Business Management ,,,
BYU-I,,,Professional Studies,Auto Services Technolog,Engine Performance,AUTO 132,2,,,Ensign, Applied Business Management ,Social Media Marketing,Communication Fundamentals,Internship,CAR 299,18,9, Applied Business Management ,,,
BYU-I,,,Professional Studies,Auto Services Technolog,Chassis Systems,AUTO 155,2,,,BYU-I,Applied Health,Community Health Planning and Implementation,Community Health Methods and Evaluation,,,18,12,Applied health,,,
BYU-I,,,Professional Studies,Auto Services Technolog,Drivetrains,AUTO 201,2,,,BYU-I,Applied Health,Medical Billing and Coding Fundamentals,Community Health Planning and Implementation,,,18,12,Applied health,,,
BYU-I,,,Professional Studies,Auto Services Technolog,Vehicle Electronics,AUTO 231,2,,,BYU-I,Applied Technology,Technical Support Engineer,Database,,,18,9,Applied Technology,,,
BYU-I,,,Professional Studies,Auto Services Technolog,Engine Management Systems,AUTO 232,2,,,BYU-I,Applied Technology,Web and Computer Programming,Database,,,18,9,Applied Technology,,,
BYU-I,,,Professional Studies,Auto Services Technolog,Career Development,GS170,1,,,BYU-I,Applied Technology,Technical Support Engineer,System Administration,,,18,9,Applied Technology,,,
BYU-I,,,Applied Business Management,Basic Accounting,Business Applications,BUS 115,3,,,BYU-I,Applied Technology,Web and Computer Programming,System Administration,,,18,9,Applied Technology,,,
BYU-I,,,Applied Business Management,Basic Accounting,Survey of Accounting,ACCTG180,3,,,BYU-I,Applied Technology,Web and Computer Programming,Web Development,,,18,9,Applied Technology,,,
BYU-I,,,Applied Business Management,Basic Accounting,Accounting Software,ACCTG205,2,,,BYU-I,Family History Research,Family History Research,Advanced Family History Research,,,18,12,Proffesional Studies,,,
BYU-I,,,Applied Business Management,Basic Accounting,Communication Essentials,COMM 175,3,,,BYU-I,"Marriage, Family, and Human Relations",Advanced Marriage and Family Functioning,,,,18,9,Marriage and Family,,,
BYU-I,,,Applied Business Management,Basic Accounting,Econ Principles & Problems Micro,ECON 150,3,,,BYU-I,Proffesional Studies,Administrative Assistant,Administrative Assistant,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Business Management,Basic Accounting,Career Development,GS 170,1,,,BYU-I,Proffesional Studies,Administrative Assistant,Advanced Family History Research,,,18,9,Proffesional Studies,,,
Ensign,,,Applied Business Management,Basic Accounting,Financial Accounting I,ACC 101,3,,,BYU-I,Proffesional Studies,Administrative Assistant,Advanced Marriage and Family Functioning,,,18,9,Proffesional Studies,,,
Ensign,,,Applied Business Management,Basic Accounting,Excel and Introduction to Technology,BAP 115,1,,,BYU-I,Proffesional Studies,Administrative Assistant,Agribusiness Management,,,18,9,Proffesional Studies,,,
Ensign,,,Applied Business Management,Basic Accounting,Quickbooks Online,ACC 111,2,,,BYU-I,Proffesional Studies,Administrative Assistant,Auto Services Technology,,,18,9,Proffesional Studies,,,
Ensign,,,Applied Business Management,Basic Accounting,Personal Finance,FIN 102,3,,,BYU-I,Proffesional Studies,Administrative Assistant,Basic Accounting,,,18,9,Proffesional Studies,,,
Ensign,,,Applied Business Management,Basic Accounting,Basic Accounting Practicum,ACC 208,3,,,BYU-I,Proffesional Studies,Administrative Assistant,Business Administration,,,18,9,Proffesional Studies,,,
Ensign,,,Applied Business Management,Basic Accounting,Career Success,CAR 201P,1,,,BYU-I,Proffesional Studies,Administrative Assistant,Business Analysis,,,18,9,Proffesional Studies,,,
Ensign,,,Applied Business Management,Basic Accounting,Interpersonal Communications,COMM 122,3,,,BYU-I,Proffesional Studies,Administrative Assistant,Business and Leadership Skills,,,18,9,Proffesional Studies,,,
BYU-I,Business and Leadership Skills.,,Applied Business Management ,Business Administration,Business Statistics,MATH 221A,3,,,BYU-I,Proffesional Studies,Administrative Assistant,Child and Family Advocacy,,,18,9,Proffesional Studies,,,
BYU-I,Business and Leadership Skills.,,Applied Business Management ,Business Administration,Financial Management,FIN 301,3,,,BYU-I,Proffesional Studies,Administrative Assistant,Commercial Fundamentals,,,18,9,Proffesional Studies,,,
BYU-I,Business and Leadership Skills.,,Applied Business Management ,Business Administration,Managerial Accounting,ACCTG202,3,,,BYU-I,Proffesional Studies,Administrative Assistant,Community Health Methods & Evaluation,,,18,9,Proffesional Studies,,,
BYU-I,Business and Leadership Skills.,,Applied Business Management ,Business Administration,Operations Management,SCM 361,3,,,BYU-I,Proffesional Studies,Administrative Assistant,Community Health Planning & Implementation,,,18,9,Proffesional Studies,,,
BYU-I,Business and Leadership Skills.,,Applied Business Management ,Business Administration,International Business,BUS 380,3,,,BYU-I,Proffesional Studies,Administrative Assistant,Computer-Aided Design and Drafting,,,18,9,Proffesional Studies,,,
BYU-I,Business and Leadership Skills.,, Professional Studies,Business Analysis,Programming Building Blocks,CSE 110,2,,,BYU-I,Proffesional Studies,Administrative Assistant,Computer Support,,,18,9,Proffesional Studies,,,
BYU-I,Business and Leadership Skills.,, Professional Studies,Business Analysis,Introduction to Databases,CIT 111,3,,,BYU-I,Proffesional Studies,Administrative Assistant,Construction Field Supervision,,,18,9,Proffesional Studies,,,
BYU-I,Business and Leadership Skills.,, Professional Studies,Business Analysis,Business Statistics,MATH 221A,3,,,BYU-I,Proffesional Studies,Administrative Assistant,Database,,,18,9,Proffesional Studies,,,
BYU-I,Business and Leadership Skills.,, Professional Studies,Business Analysis,SMM Analytics,SMMBC150,3,,,BYU-I,Proffesional Studies,Administrative Assistant,Entrepreneurship,,,18,9,Proffesional Studies,,,
BYU-I,Business and Leadership Skills.,, Professional Studies,Business Analysis,Business Intel and Analytics,CIT 381,3,,,BYU-I,Proffesional Studies,Administrative Assistant,Epidemiology,,,18,9,Proffesional Studies,,,
BYU-I,introductory certificate under the Applied Business Management degree.,,Applied Business Management ,Business and Leadership Skills,Business Applications,BUS 115,3,,,BYU-I,Proffesional Studies,Administrative Assistant,Family History Research,,,18,9,Proffesional Studies,,,
BYU-I,introductory certificate under the Applied Business Management degree.,,Applied Business Management ,Business and Leadership Skills,Marketing Management,MKT 341,3,,,BYU-I,Proffesional Studies,Administrative Assistant,Graphic Design Fundamentals,,,18,9,Proffesional Studies,,,
BYU-I,introductory certificate under the Applied Business Management degree.,,Applied Business Management ,Business and Leadership Skills,Organizational Leadership,BUS 321,3,,,BYU-I,Proffesional Studies,Administrative Assistant,Hospitality and Tourism Management,,,18,9,Proffesional Studies,,,
BYU-I,introductory certificate under the Applied Business Management degree.,,Applied Business Management ,Business and Leadership Skills,Business Fundamentals,BA 211,3,,,BYU-I,Proffesional Studies,Administrative Assistant,Human Resource Management,,,18,9,Proffesional Studies,,,
BYU-I,introductory certificate under the Applied Business Management degree.,,Applied Business Management ,Business and Leadership Skills,Financial Accounting,ACCTG201,3,,,BYU-I,Proffesional Studies,Administrative Assistant,Human Services,,,18,9,Proffesional Studies,,,
Ensign,Communication Fundamentals,, Marriage & Family Studies ,Child and Family Advocacy,Public Speaking,COMM 102,3,,,BYU-I,Proffesional Studies,Administrative Assistant,"Marriage, Family, and Human Relations",,,18,9,Proffesional Studies,,,
Ensign,Communication Fundamentals,, Marriage & Family Studies ,Child and Family Advocacy,Family & Community Relationships,FAML 430,3,,,BYU-I,Proffesional Studies,Administrative Assistant,Occupational Safety & Health,,,18,9,Proffesional Studies,,,
Ensign,Communication Fundamentals,, Marriage & Family Studies ,Child and Family Advocacy,American Government,POLSC110,3,,,BYU-I,Proffesional Studies,Administrative Assistant,Parent and Family Education,,,18,9,Proffesional Studies,,,
Ensign,Communication Fundamentals,, Marriage & Family Studies ,Child and Family Advocacy,SMM Advocacy and Advertising,SMMBC160,3,,,BYU-I,Proffesional Studies,Administrative Assistant,Social Media Marketing,,,18,9,Proffesional Studies,,,
Ensign,Communication Fundamentals,, Marriage & Family Studies ,Child and Family Advocacy,Social Innovation,BUS 374,3,,,BYU-I,Proffesional Studies,Administrative Assistant,System Administration,,,18,9,Proffesional Studies,,,
Ensign,Communication Fundamentals,,Applied Business Management,Commercial Fundamentals,Business Applications,BUS 115,3,,,BYU-I,Proffesional Studies,Administrative Assistant,Teaching English as a Foreign Language,,,18,9,Proffesional Studies,,,
Ensign,Social Media Marketing,,Applied Business Management,Commercial Fundamentals,The Cycle of Cash,BUS 180,2,,,BYU-I,Proffesional Studies,Administrative Assistant,Web Development,,,18,9,Proffesional Studies,,,
Ensign,Social Media Marketing,,Applied Business Management,Commercial Fundamentals,Communication Essentials,COMM 175,3,,,BYU-I,Proffesional Studies,Auto Services Technology,Administrative Assistant,,,18,9,Proffesional Studies,,,
Ensign,Social Media Marketing,,Applied Business Management,Commercial Fundamentals,Sales & Customer Relations,MKT 120,3,,,BYU-I,Proffesional Studies,Auto Services Technology,Advanced Family History Research,,,18,9,Proffesional Studies,,,
Ensign,Social Media Marketing,,Applied Business Management,Commercial Fundamentals,Intro to Social Media Marketing,SMMBC105,3,,,BYU-I,Proffesional Studies,Auto Services Technology,Advanced Marriage and Family Functioning,,,18,9,Proffesional Studies,,,
Ensign,Social Media Marketing,,Applied Business Management,Commercial Fundamentals,Career Development,GS 170,1,,,BYU-I,Proffesional Studies,Auto Services Technology,Agribusiness Management,,,18,9,Proffesional Studies,,,
BYU-I,Community Health Planning & Implementation,,Applied Communication,Communication Core,Communication Career Workshop,COMM 300,1,,,BYU-I,Proffesional Studies,Auto Services Technology,Auto Services Technology,,,18,9,Proffesional Studies,,,
BYU-I,Community Health Planning & Implementation,,Applied Communication,Communication Core,Communication Research Methods,COMM 350,3,,,BYU-I,Proffesional Studies,Auto Services Technology,Basic Accounting,,,18,9,Proffesional Studies,,,
BYU-I,Community Health Planning & Implementation,,Applied Communication,Communication Core,Conflict Management,COMM 360,3,,,BYU-I,Proffesional Studies,Auto Services Technology,Business Administration,,,18,9,Proffesional Studies,,,
BYU-I,Community Health Planning & Implementation,,Applied Communication,Communication Core,Media Law and Ethics,COMM 370,3,,,BYU-I,Proffesional Studies,Auto Services Technology,Business Analysis,,,18,9,Proffesional Studies,,,
BYU-I,Community Health Planning & Implementation,,Applied Communication,Communication Core,Communication Project Management,COMM 380,3,,,BYU-I,Proffesional Studies,Auto Services Technology,Business and Leadership Skills,,,18,9,Proffesional Studies,,,
BYU-I,Community Health Planning & Implementation,,Applied Communication,Communication Core,Communication Internship,COMM 499,3,,,BYU-I,Proffesional Studies,Auto Services Technology,Child and Family Advocacy,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Communication ,Communication Fundamentals,Fundamentals of Content Creation,DCC 180,3,,,BYU-I,Proffesional Studies,Auto Services Technology,Commercial Fundamentals,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Communication ,Communication Fundamentals,Mass Communication and Society,COMM 210,3,,,BYU-I,Proffesional Studies,Auto Services Technology,Community Health Methods & Evaluation,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Communication ,Communication Fundamentals,Writing for Communication Careers,COMM 310,3,,,BYU-I,Proffesional Studies,Auto Services Technology,Community Health Planning & Implementation,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Communication ,Communication Fundamentals,Public Speaking,COMM 320,3,,,BYU-I,Proffesional Studies,Auto Services Technology,Computer-Aided Design and Drafting,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Communication ,Communication Fundamentals,Digital Communication,COMM 330,3,,,BYU-I,Proffesional Studies,Auto Services Technology,Computer Support,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Health,Community Health Methods & Evaluation,Community Health Methods,HS 401,2,,,BYU-I,Proffesional Studies,Auto Services Technology,Construction Field Supervision,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Health,Community Health Methods & Evaluation,Health Behavior Theories/Models,HS 420,2,,,BYU-I,Proffesional Studies,Auto Services Technology,Database,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Health,Community Health Methods & Evaluation,Program Evaluation,HS 381,2,,,BYU-I,Proffesional Studies,Auto Services Technology,Entrepreneurship,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Health,Community Health Methods & Evaluation,Hospital & Health Administration,HS 285,3,,,BYU-I,Proffesional Studies,Auto Services Technology,Epidemiology,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Health,Community Health Methods & Evaluation,Social Innovation,BUS 374,3,,,BYU-I,Proffesional Studies,Auto Services Technology,Family History Research,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Health,Community Health Methods & Evaluation,Research Methods,HS 391,3,,,BYU-I,Proffesional Studies,Auto Services Technology,Graphic Design Fundamentals,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Health,Community Health Planning & Implementation,Intro to Public Health,HS 240,2,,,BYU-I,Proffesional Studies,Auto Services Technology,Hospitality and Tourism Management,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Health,Community Health Planning & Implementation,Business Applications,BUS 115,3,,,BYU-I,Proffesional Studies,Auto Services Technology,Human Resource Management,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Health,Community Health Planning & Implementation,Program Planning/Implementation,HS 390,3,,,BYU-I,Proffesional Studies,Auto Services Technology,Human Services,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Health,Community Health Planning & Implementation,Health Communications,HS 472,3,,,BYU-I,Proffesional Studies,Auto Services Technology,"Marriage, Family, and Human Relations",,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Health,Community Health Planning & Implementation,Communicable & Non-Comm Diseases,HS 320,3,,,BYU-I,Proffesional Studies,Auto Services Technology,Occupational Safety & Health,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Health,Community Health Planning & Implementation,Career Development,GS 170,1,,,BYU-I,Proffesional Studies,Auto Services Technology,Parent and Family Education,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Business Management ,Computer Support,Business Applications,BUS 115,3,,,BYU-I,Proffesional Studies,Auto Services Technology,Social Media Marketing,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Business Management ,Computer Support,Hardware Technician,CITBC102,3,,,BYU-I,Proffesional Studies,Auto Services Technology,System Administration,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Business Management ,Computer Support,Windows Client,CITBC125,3,,,BYU-I,Proffesional Studies,Auto Services Technology,Teaching English as a Foreign Language,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Business Management ,Computer Support,Introduction to Networking,CITBC150,3,,,BYU-I,Proffesional Studies,Auto Services Technology,Web Development,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Business Management ,Computer Support,Interpersonal Theory & Practice,COMM 150,3,,,BYU-I,Proffesional Studies,Basic Accounting,Administrative Assistant,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Business Management ,Computer Support,Career Development,GS 170,1,,,BYU-I,Proffesional Studies,Basic Accounting,Advanced Family History Research,,,18,9,Proffesional Studies,,,
BYU-I,Web and Computer Programming and Technical Support Engineer,,Professional Studies ,Computer-Aided Design and Drafting,Business Applications,BUS 115,3,,,BYU-I,Proffesional Studies,Basic Accounting,Advanced Marriage and Family Functioning,,,18,9,Proffesional Studies,,,
BYU-I,Web and Computer Programming and Technical Support Engineer,,Professional Studies ,Computer-Aided Design and Drafting,Intermediate Algebra,MATH 101,3,,,BYU-I,Proffesional Studies,Basic Accounting,Agribusiness Management,,,18,9,Proffesional Studies,,,
BYU-I,Web and Computer Programming and Technical Support Engineer,,Professional Studies ,Computer-Aided Design and Drafting,Fundamentals in 2D CADD,ME 162,3,,,BYU-I,Proffesional Studies,Basic Accounting,Auto Services Technology,,,18,9,Proffesional Studies,,,
BYU-I,Web and Computer Programming and Technical Support Engineer,,Professional Studies ,Computer-Aided Design and Drafting,Parametric Mechanical CAD,ME 172,3,,,BYU-I,Proffesional Studies,Basic Accounting,Basic Accounting,,,18,9,Proffesional Studies,,,
BYU-I,Web and Computer Programming and Technical Support Engineer,,Professional Studies ,Computer-Aided Design and Drafting,Mechanical CADD and GD&T,ME 272,3,,,BYU-I,Proffesional Studies,Basic Accounting,Business Administration,,,18,9,Proffesional Studies,,,
BYU-I,,,Professional Studies ,Computer-Aided Design and Drafting,Career Development,GS 170,1,,,BYU-I,Proffesional Studies,Basic Accounting,Business Analysis,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Business Management,Construction Field Supervision,Construction Safety,CONST221,3,,,BYU-I,Proffesional Studies,Basic Accounting,Business and Leadership Skills,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Business Management,Construction Field Supervision,Construction Documents,ARCH 270,3,,,BYU-I,Proffesional Studies,Basic Accounting,Child and Family Advocacy,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Business Management,Construction Field Supervision,Project Management,CONST380,2,,,BYU-I,Proffesional Studies,Basic Accounting,Commercial Fundamentals,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Business Management,Construction Field Supervision,Construction Estimating,CONST285,3,,,BYU-I,Proffesional Studies,Basic Accounting,Community Health Methods & Evaluation,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Business Management,Construction Field Supervision,Field Scheduling,CONST291,3,,,BYU-I,Proffesional Studies,Basic Accounting,Community Health Planning & Implementation,,,18,9,Proffesional Studies,,,
BYU-I,Community Health Planning & Implementation and Community Health Methods & Evaluation,,Applied Technology ,Database,Introduction to Databases,CIT 111,3,,,BYU-I,Proffesional Studies,Basic Accounting,Computer-Aided Design and Drafting,,,18,9,Proffesional Studies,,,
BYU-I,Community Health Planning & Implementation and Community Health Methods & Evaluation,,Applied Technology ,Database,Database Design & Development,CIT 225,3,,,BYU-I,Proffesional Studies,Basic Accounting,Computer Support,,,18,9,Proffesional Studies,,,
BYU-I,Community Health Planning & Implementation and Community Health Methods & Evaluation,,Applied Technology ,Database,Database Programming,CIT 325,3,,,BYU-I,Proffesional Studies,Basic Accounting,Construction Field Supervision,,,18,9,Proffesional Studies,,,
BYU-I,Community Health Planning & Implementation and Community Health Methods & Evaluation,,Applied Technology ,Database,Database Administration,CIT 326,3,,,BYU-I,Proffesional Studies,Basic Accounting,Database,,,18,9,Proffesional Studies,,,
BYU-I,Community Health Planning & Implementation and Community Health Methods & Evaluation,,Applied Technology ,Database,Data Warehousing,CIT 327,3,,,BYU-I,Proffesional Studies,Basic Accounting,Entrepreneurship,,,18,9,Proffesional Studies,,,
BYU-I,Community Health Planning & Implementation and Community Health Methods & Evaluation,,Applied Business Management ,Entrepreneurship,Business Applications,BUS 115,3,,,BYU-I,Proffesional Studies,Basic Accounting,Epidemiology,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Business Management ,Entrepreneurship,Intro. to Entrepreneurship,BUS 110,3,,,BYU-I,Proffesional Studies,Basic Accounting,Family History Research,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Business Management ,Entrepreneurship,The Cycle of Cash,BUS 180,2,,,BYU-I,Proffesional Studies,Basic Accounting,Graphic Design Fundamentals,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Business Management ,Entrepreneurship,Sales & Customer Relations,MKT 120,3,,,BYU-I,Proffesional Studies,Basic Accounting,Hospitality and Tourism Management,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Business Management ,Entrepreneurship,Small Business Creation,BUS 210,3,,,BYU-I,Proffesional Studies,Basic Accounting,Human Resource Management,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Business Management ,Entrepreneurship,Career Development,GS 170,1,,,BYU-I,Proffesional Studies,Basic Accounting,Human Services,,,18,9,Proffesional Studies,,,
BYU-I,,,Applied Health,Epidemiology,Programming Building Blocks,CSE 110,2,,,BYU-I,Proffesional Studies,Basic Accounting,"Marriage, Family, and Human Relations",,,18,9,Proffesional Studies,,,
BYU-I,, Family History Research,Applied Health,Epidemiology,Introduction to Databases,CIT 111,3,,,BYU-I,Proffesional Studies,Basic Accounting,Occupational Safety & Health,,,18,9,Proffesional Studies,,,
BYU-I,, Family History Research,Applied Health,Epidemiology,Biostatistics,MATH 221B,3,,,BYU-I,Proffesional Studies,Basic Accounting,Parent and Family Education,,,18,9,Proffesional Studies,,,
BYU-I,, Family History Research,Applied Health,Epidemiology,Environmental Health,HS 310,3,,,BYU-I,Proffesional Studies,Basic Accounting,Social Media Marketing,,,18,9,Proffesional Studies,,,
BYU-I,, Family History Research,Applied Health,Epidemiology,Epidemiology,HS 370,3,,,BYU-I,Proffesional Studies,Basic Accounting,System Administration,,,18,9,Proffesional Studies,,,
BYU-I,, Family History Research,Applied Health,Epidemiology,,,3,,,BYU-I,Proffesional Studies,Basic Accounting,Teaching English as a Foreign Language,,,18,9,Proffesional Studies,,,
BYU-I,, Family History Research,Professional Studies,Family History Research,Introduction to Family History,REL 261,2,,,BYU-I,Proffesional Studies,Basic Accounting,Web Development,,,18,9,Proffesional Studies,,,
BYU-I,,,Professional Studies,Family History Research,Family History Research Success,FHGEN110,1,,,BYU-I,Proffesional Studies,Commercial Fundementals,Administrative Assistant,,,18,9,Proffesional Studies,,,
BYU-I,,,Professional Studies,Family History Research,Internet and Computer Skills,FHGEN120,3,,,BYU-I,Proffesional Studies,Commercial Fundementals,Advanced Family History Research,,,18,9,Proffesional Studies,,,
BYU-I,,,Professional Studies,Family History Research,Paleography,FHGEN130,3,,,BYU-I,Proffesional Studies,Commercial Fundementals,Advanced Marriage and Family Functioning,,,18,9,Proffesional Studies,,,
